#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.597425,47,8.050509,-52.1662113429609,-2.166211342960901,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.759971,52,8.1127,-53.57990694644875,-3.479906946448752,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.893339,91,8.214612,-54.55161648507172,-4.551616485071715,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6461873,33,8.254392,-52.24852642058851,-2.148526420588512,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.80095,69,8.335081,-53.51592426515454,-3.415924265154536,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.938616,18,8.357846,-54.85003797966047,-4.8500379796604705,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6635604,48,8.414921,-52.23958124880498,-2.1395812488049835,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.6296377,22,8.443235,-51.95628624721533,-1.6562862472153315,0.0,0.0,0.0,0.0,0.0,1,-50.3
-5.7828217,34,8.484132,-53.356088460827344,-2.95608846082734,0.0,0.0,0.0,0.0,0.0,1,-50.4
-5.69438,34,8.52668,-52.52245617702354,-2.522456177023546,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.590666,10,8.540499,-51.64664616740914,-1.646646167409135,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6209664,81,8.637216,-51.721458122239255,-1.6214581222392592,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.568305,19,8.66169,-51.277456284261866,-1.2774562842618629,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6435056,12,8.677904,-52.043099635712814,-2.0430996357128173,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.649073,22,8.705328,-52.1268107628531,-1.8268107628530919,0.0,0.0,0.0,0.0,0.0,1,-50.3
-5.695975,9,8.71836,-52.64926722088956,-2.6492672208895627,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6793504,27,8.751208,-52.507180309880795,-2.207180309880793,0.0,0.0,0.0,0.0,0.0,1,-0.30000000000000004
-5.883284,15,8.770874,-54.46045744121339,-4.3604574412133985,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.6973352,8,8.782935,-52.83768296289342,-2.8376829628934175,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8065233,66,8.858828,-53.70835272006254,-3.5083527200625415,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.6283035,74,8.943586,-51.88658002780167,-1.8865800278016724,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.657928,58,9.016395,-52.05385384577235,-2.053853845772352,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8254395,23,9.04434,-53.62610154638138,-3.6261015463813795,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.668748,37,9.089456,-52.15811966236268,-2.158119662362683,0.0,0.0,0.0,0.0,0.0,1,0.0
